16
965 1635
507 849 901
828 157 249
432 709 345
791 174 192
959 817 124
309 143 163
136 461 982
907 72 467
959 492 444
943 379 230
197 547 129
604 148 311
764 741 612
444 745 621
163 160 862
465 923 993
172 519 630
113 225 433
80 677 195
373 437 131
505 711 975
924 624 99
391 841 184
791 476 878
360 590 62
185 679 82
277 949 601
876 767 729
581 54 540
128 838 467
734 486 706
177 67 204
634 685 996
152 213 561
63 664 496
228 811 330
799 557 432
430 422 96
489 103 123
822 222 189
396 710 412
535 171 675
193 200 850
536 757 257
439 38 839
937 123 644
104 577 923
201 824 649
734 310 85
471 214 218
160 767 19
335 326 274
518 516 564
395 920 874
529 677 732
633 647 826
589 333 658
167 807 111
34 412 227
352 917 136
400 778 68
365 782 705
815 900 360
662 861 228
47 89 208
331 487 853
582 371 101
309 156 699
106 775 520
180 715 990
488 663 676
447 605 918
802 102 508
84 365 230
258 562 977
189 104 809
237 430 612
610 390 517
715 43 1
308 419 421
296 568 728
302 588 753
10 179 695
50 71 204
733 929 532
872 470 73
60 913 941
151 946 361
272 226 700
242 402 266
420 812 401
68 683 4
151 442 167
70 375 755
476 179 837
405 20 795
171 777 915
683 94 696
727 696 376
551 571 776
879 956 75
415 243 260
315 104 111
34 582 545
899 262 303
285 141 575
685 786 466
439 397 768
170 774 916
799 268 413
353 683 99
403 907 180
489 25 925
778 328 717
68 859 557
531 470 777
143 930 400
295 700 46
659 808 685
157 474 405
517 101 901
370 101 664
132 614 104
834 440 25
132 114 358
727 675 954
351 532 556
220 340 577
379 929 714
612 181 292
448 158 793
287 654 585
663 77 583
902 800 347
351 238 74
238 681 646
419 72 59
64 50 160
803 105 111
235 375 761
795 263 582
193 279 465
28 441 855
871 21 150
332 871 631
603 296 554
912 190 836
300 463 573
491 103 712
513 99 637
123 771 31
654 608 289
607 695 618
92 496 311
340 926 465
25 935 74
283 409 536
101 207 712
737 964 99
944 439 303
295 515 581
742 555 735
576 944 547
790 149 57
311 54 140
506 802 616
691 498 346
462 263 532
288 314 488
113 165 94
172 100 296
237 285 783
69 413 847
184 328 396
404 566 840
381 706 523
22 864 513
76 810 234
473 481 86
319 143 248
539 4 788
583 501 776
162 482 522
735 710 877
922 353 570
309 120 183
842 145 807
279 209 227
174 424 180
430 696 521
544 672 818
484 163 896
119 206 170
543 941 36
175 203 777
788 1 776
302 407 421
953 129 969
409 360 79
37 842 533
2 491 470
245 505 664
318 131 771
617 235 381
338 153 167
280 105 240
55 752 664
118 427 937
547 52 299
956 603 272
212 359 768
301 365 481
634 78 836
262 306 322
20 720 992
706 325 908
572 340 756
965 29 248
808 309 630
308 177 445
242 317 39
47 424 781
41 599 672
603 854 374
171 529 497
337 400 504
409 680 996
944 854 295
695 106 964
408 799 391
38 138 415
274 748 164
69 307 47
219 877 608
296 638 791
187 348 636
396 858 204
470 250 328
539 802 821
638 731 230
806 254 912
918 941 684
399 909 308
401 34 754
578 884 72
320 303 595
938 209 518
831 273 855
308 312 652
769 8 866
4 738 397
63 12 346
56 24 820
296 474 732
506 754 464
868 327 616
543 829 214
684 405 787
923 322 114
423 631 518
191 729 457
212 266 490
781 434 290
253 780 586
792 747 648
625 835 45
642 112 421
276 734 708
610 918 717
22 304 801
605 665 966
1 876 583
622 652 541
697 140 45
700 713 815
108 119 723
217 352 530
226 182 976
693 872 763
876 233 183
536 51 323
520 545 847
777 126 969
756 723 785
264 800 209
354 913 466
779 941 325
103 238 831
397 723 907
214 822 67
96 532 326
104 856 322
190 388 266
591 921 402
481 545 958
139 561 681
285 923 182
302 378 906
199 289 505
524 191 124
444 163 443
181 278 586
433 200 269
343 874 553
488 775 496
924 189 74
258 167 447
225 864 15
833 222 781
305 424 259
532 310 924
834 705 443
42 431 234
30 146 150
454 102 537
687 440 777
824 150 367
820 539 641
639 819 800
238 581 625
704 921 123
580 69 500
467 178 177
644 722 666
373 705 943
79 145 85
168 454 588
947 150 137
349 524 141
55 928 455
527 310 652
517 119 659
132 194 406
686 944 34
644 934 361
316 643 954
339 508 231
509 551 468
765 907 411
824 335 925
807 540 486
929 64 670
455 597 717
505 685 782
137 100 478
768 183 328
623 880 527
739 352 976
521 359 726
416 137 345
383 680 770
946 625 91
474 876 261
281 509 862
747 156 832
829 309 453
545 344 524
49 568 94
823 911 536
812 461 288
212 551 805
453 169 145
634 835 862
276 760 639
943 641 385
392 630 655
388 5 656
782 604 841
640 384 446
474 769 148
204 409 440
606 579 274
645 13 649
598 771 292
124 792 225
17 532 125
692 551 131
75 545 259
954 240 236
148 843 948
406 735 770
300 235 409
648 769 329
716 922 400
470 744 375
532 534 874
628 414 74
545 141 963
473 620 77
747 157 57
177 907 226
706 387 537
235 761 507
224 376 262
42 607 914
64 118 716
845 537 958
439 896 919
474 163 996
142 200 957
807 497 489
658 530 637
820 925 177
132 171 297
742 889 353
160 267 746
403 934 29
722 412 819
2 914 332
422 45 696
744 806 321
762 448 413
438 949 579
296 315 8
241 630 732
562 613 960
720 406 508
671 751 337
915 828 235
387 348 80
740 193 167
845 552 412
249 636 707
379 556 518
285 402 322
195 41 219
78 90 671
839 840 180
843 536 174
410 415 612
82 617 832
425 404 969
5 868 655
952 49 450
112 370 224
349 485 85
388 439 369
785 505 633
746 833 176
929 422 945
425 659 266
251 430 887
585 676 191
468 61 306
103 182 465
875 224 940
363 149 572
883 807 576
280 461 319
117 584 862
305 110 993
514 33 258
634 915 101
211 339 195
274 799 768
830 202 75
35 334 575
514 199 48
40 264 810
610 382 228
858 650 336
646 505 907
430 119 283
50 421 848
230 390 166
931 458 918
331 618 259
4 719 723
328 799 598
624 799 518
801 807 224
887 782 997
841 360 306
947 356 955
469 25 144
634 895 874
151 424 339
898 839 902
816 199 31
862 469 270
395 150 721
16 664 169
762 310 375
693 246 251
343 363 571
652 36 628
939 208 134
603 735 671
262 499 413
622 24 309
763 362 60
407 206 894
395 156 111
946 299 407
598 925 736
668 744 113
942 365 496
758 462 811
150 200 702
64 580 290
483 589 9
444 125 894
909 256 917
500 886 696
208 769 839
71 497 526
36 846 106
637 457 36
541 75 399
392 934 849
331 775 206
856 331 172
629 135 980
140 507 260
410 5 677
219 607 516
472 870 45
769 715 667
147 708 351
912 160 549
314 161 223
24 765 884
726 160 223
483 617 281
563 329 699
415 531 950
514 54 295
336 820 7
202 850 747
473 418 758
557 590 379
145 596 880
22 427 675
377 259 805
905 380 989
742 835 825
445 485 591
436 385 128
3 187 250
672 9 623
753 199 267
964 36 184
337 668 538
678 481 572
885 481 849
760 773 912
300 453 980
549 107 502
932 511 175
857 338 633
459 597 659
563 640 171
217 857 419
962 767 454
436 66 364
374 649 898
58 275 323
333 587 829
60 372 957
618 379 899
867 702 681
730 839 251
578 379 6
678 856 854
129 785 503
681 21 726
436 381 217
417 693 741
766 84 222
627 96 270
873 258 618
189 954 691
272 570 671
878 104 851
118 5 165
90 699 7
321 234 658
934 578 932
815 171 601
402 356 771
11 837 778
8 358 643
647 921 369
118 906 944
438 262 886
775 191 3
554 152 212
773 949 934
237 250 762
782 914 556
240 924 270
939 918 36
107 448 279
752 740 518
99 33 502
487 841 831
904 829 663
609 791 393
609 600 957
91 714 108
652 851 957
945 509 495
692 203 104
625 403 451
90 424 679
204 924 670
766 18 797
423 704 927
955 781 871
169 130 451
872 23 800
447 101 429
294 923 511
865 893 497
50 863 539
407 452 666
867 260 419
247 889 495
419 585 977
360 230 545
652 363 572
470 775 893
40 588 814
313 510 21
910 712 647
204 376 297
57 37 230
543 851 753
159 749 618
642 772 996
423 849 232
531 564 924
690 653 278
887 344 611
193 120 302
433 903 562
786 357 443
214 653 448
640 590 248
